date,total,hotel,hotel-apartamentos,aldeamentos-turisticos,apartamentos-turisticos
1999,818246,524602,99721,29937,60260
2000,918309,593083,109623,33989,66887
2001,960904,618245,122161,35340,65183
2002,995758,635749,123617,35676,76888
2003,987933,629152,121968,40135,74947
2004,1060012,691567,126047,39010,72438
2005,1059957,688804,129666,41200,70314
2006,1153248,767291,136575,39010,68721
2007,1301930,869017,147995,44254,82711
2008,1323973,882393,156011,46204,82391
2009,1190057,792523,140146,42063,74313
2010,1225511,839705,146019,43928,68581
2011,1307674,909789,155777,51168,74458
2012,1290103,898477,160810,56823,81103
2013,1425738,967501,166974,62484,82903
2014,1627176,1116387,178591,67440,93133
2015,1899625,1304861,191873,71997,106226
2016,2264556,1560188,226498,89738,115045
2017,2737998,1886808,258536,104285,133420
2018,2993197,2039729,282769,110426,146011
2019,3229880,2166849,307298,110148,156912
2020,1076417,669429,112051,50274,56702